feature,rss,gcv,nb_subset,timestep
CPY006_wl,0.58,0.58,0.27,1
BKK002_wl,0.18,0.18,0.17,1
CPY015_wl,0.11,0.11,0.15,1
DIV004_wl,0.3,0.3,0.03,2
GLF001_wl,0.2,0.2,0.07,3
DNP007_temp,0.3,0.31,0.12,16
CPY004_wl,0.27,0.27,0.1,16
NAN012_wl,0.12,0.12,0.13,17
DNP006_temp,0.18,0.18,0.26,22
NAN011_wl,0.16,0.16,0.11,23
DNP007_humid,0.14,0.14,0.12,26
DIV001_wl,0.16,0.16,0.18,27
BKK001_wl,0.12,0.12,0.13,29
CHM002_wl,0.12,0.12,0.19,33
PIN004_wl,0.35,0.35,0.1,35
DNP004_temp,0.12,0.12,0.13,35
PAS007_wl,0.12,0.12,0.1,35
BKK013_wl,0.19,0.19,0.22,36
PAS006_wl,0.15,0.15,0.12,36
YOM012_wl,0.23,0.23,0.25,40
DNP010_temp,0.11,0.11,0.16,40
NAN009_wl,0.32,0.32,0.19,43
DIV006_wl,0.13,0.13,0.16,43
KWN002_wl,0.41,0.41,0.23,45
DNP028_press,0.38,0.38,0.03,58
CPY017_wl,0.38,0.39,0.09,61
DIV003_wl,0.12,0.13,0.02,62
NAN013_wl,0.2,0.2,0.28,63
